message,type1,type2
"A path marked by gentle restlessness, settling into a quiet, disciplined resolve.",Bug,Fighting
"A path where light drifts circle above, carrying a sense of subtle agility.",Bug,Flying
"A path wrapped in a soft hush, shaped by an unseen presence moving just ahead.",Bug,Ghost
"A path rooted in faint stirring earth, steady and grounded beneath each step.",Bug,Ground
"A path touched by a mild quiver, calm yet quietly shifting.",Bug,Normal
"A path veiled in quiet tension, curling through an uncertain stillness.",Bug,Poison
"A path shaped by subtle rhythm, blended with a weighty, patient strength.",Bug,Rock
"A path where fine structure hums beneath a delicate wandering motion.",Bug,Steel
"A path crossed by a muted shadow moving under roaming curiosity.",Bug,Dark
"A path stirred by an old pulse, coiling within a fleeting skitter.",Bug,Dragon
"A path flickering softly through barely shifting air.",Bug,Electric
"A path warmed by a dancing flicker beneath a living motion.",Bug,Fire
"A path where tender growth sways with faint restless energy.",Bug,Grass
"A path marked by crisp stillness forming around a gentle movement.",Bug,Ice
"A path brushed by thoughtful murmurs alongside a curious drift.",Bug,Psychic
"A path carried by a calm ripple holding a faint scuttling impression.",Bug,Water
"A path held by quiet firmness merging with rising motion.",Fighting,Flying
"A path steady with rhythmic focus, softened by a gentle fading presence.",Fighting,Ghost
"A path grounded by a determined calm settling into solid force.",Fighting,Ground
"A path warmed by simple steadiness growing into firm resolve.",Fighting,Normal
"A path lined with soft unease beneath a determined air.",Fighting,Poison
"A path steadied by patient weight circling focused intent.",Fighting,Rock
"A path shaped by quiet discipline forming subtly rigid stillness.",Fighting,Steel
"A path deepened by a firm breath that settles into muted shadow.",Fighting,Dark
"A path coiled by a deep current beneath practiced strength.",Fighting,Dragon
"A path flickering with faint vibration under steady focus.",Fighting,Electric
"A path tempered by gentle heat blended with restrained determination.",Fighting,Fire
"A path rooted in living calm beneath a firm stance.",Fighting,Grass
"A path cooled by sharp clarity tightening quiet discipline.",Fighting,Ice
"A path steadied by mindful presence rising into quiet energy.",Fighting,Psychic
"A path softened by gentle flow easing persistent focus.",Fighting,Water
"A path merging drifting lightness with a quiet, fading presence.",Flying,Ghost
"A path settled by wandering breeze grounding into steady earth.",Flying,Ground
"A path softened by plain openness shifting into gentle motion.",Flying,Normal
"A path threaded with thin unease beneath a wandering calm.",Flying,Poison
"A path resting loose flutter against steady weight.",Flying,Rock
"A path carried by formed stillness holding drifting ease.",Flying,Steel
"A path moving beneath a dim veil crossing roaming stillness.",Flying,Dark
"A path widened by a circling breath touching old quiet strength.",Flying,Dragon
"A path glowing with bright flicker gliding through open space.",Flying,Electric
"A path warmed by whispering air moving freely overhead.",Flying,Fire
"A path overgrown softly, steadying a wandering breath.",Flying,Grass
"A path held in crisp openness with delicate motion.",Flying,Ice
"A path stretched by calm intuition expanding into open space.",Flying,Psychic
"A path flowing gently across a quiet surface.",Flying,Water
"A path lined with dim echo lingering across settling ground.",Ghost,Ground
"A path spread with plain quiet resting beneath a fading trace.",Ghost,Normal
"A path passing through soft blur drifting within uncertain stillness.",Ghost,Poison
"A path where quiet trace settles against unmoving weight.",Ghost,Rock
"A path folded by muted ring into rigid calm.",Ghost,Steel
"A path deepened by stillness settling behind a quiet veil.",Ghost,Dark
"A path coiling slow ancient calm beneath fading shapes.",Ghost,Dragon
"A path humming with faint vibration behind pale silence.",Ghost,Electric
"A path warmed by low stirring glowing against empty hush.",Ghost,Fire
"A path covered in gentle green hush over drifting echo.",Ghost,Grass
"A path touched by delicate clarity meeting fading presence.",Ghost,Ice
"A path brushed by light thought over fading impression.",Ghost,Psychic
"A path rippling quietly through hollow calm.",Ghost,Water
"A path deepening steady base beneath simple calm.",Ground,Normal
"A path heavy with muted weight blending into slight unease.",Ground,Poison
"A path formed by firm weight meeting patient stillness.",Ground,Rock
"A path standing in shaped presence against quiet foundation.",Ground,Steel
"A path dimmed by heaviness resting beside deeper shade.",Ground,Dark
"A path anchored by deep pulse sweeping through presence.",Ground,Dragon
"A path humming with small vibration in settled dust.",Ground,Electric
"A path resting in soft warmth beneath level earth.",Ground,Fire
"A path rooted in living calm grounding into steady breath.",Ground,Grass
"A path cooled by chilled clarity tightening settled weight.",Ground,Ice
"A path anchored by steady thought holding quiet depth.",Ground,Psychic
"A path smoothed by calm tide over steady earth.",Ground,Water
"A path carrying gentle plainness holding fading residue.",Normal,Poison
"A path settling in simple stillness into gentle weight.",Normal,Rock
"A path ordered quietly along simple calm.",Normal,Steel
"A path dim with hush lingering beneath ordinary quiet.",Normal,Dark
"A path pulsing calmly through steady simplicity.",Normal,Dragon
"A path tinged by faint tingle stirring beneath plain air.",Normal,Electric
"A path warming with small rising heat meeting simple ease.",Normal,Fire
"A path resting with soft growth beside quiet constancy.",Normal,Grass
"A path cooled by crisp clarity settling on ordinary stillness.",Normal,Ice
"A path brushed with thoughtful glow over gentle simplicity.",Normal,Psychic
"A path softened by modest flow through plain air.",Normal,Water
"A path softened by drifting haze resting on patient weight.",Poison,Rock
"A path bending faint distortion around rigid form.",Poison,Steel
"A path resting with dim blur within deeper shade.",Poison,Dark
"A path curling slowly through ancient calm.",Poison,Dragon
"A path flickering beneath muted haze.",Poison,Electric
"A path glowing low warmth through dissolving presence.",Poison,Fire
"A path rising through tender growth beneath unclear veil.",Poison,Grass
"A path cooled by pale clarity against unstable calm.",Poison,Ice
"A path brushing quiet distortion along thoughtful stillness.",Poison,Psychic
"A path moving gentle wave through dissolving air.",Poison,Water
"A path steadied by deep weight beside soft shadow.",Rock,Dark
"A path winding ancient pulse beneath firm shape.",Rock,Dragon
"A path dancing with faint flicker across solid calm.",Rock,Electric
"A path glowing warm hint behind heavy presence.",Rock,Fire
"A path softened by tender overgrowth against unyielding form.",Rock,Grass
"A path resting in crisp stillness atop unmoving weight.",Rock,Ice
"A path humming thoughtfully within solid quiet.",Rock,Psychic
"A path touched by smooth wave brushing grounded stone.",Rock,Water
"A path lingering with muted shade shaped by rigid lines.",Steel,Dark
